วันที่,Unnamed: 1,กะ,เวลารูดเข้า,เวลารูดออก,Remark,OT Fix,OT วันทำงาน,OT วันหยุด,ทำงานวันหยุด,ทำงานวันหยุดประเพณี,กลับก่อนเวลา,มาทำงานสาย,ประเภทการลา,จำนวนวันลา,จำนวนนาที ที่ลา
18-Jun-24,,,07:54,,,,,,,,,,,,
19-Jun-24,,,,,,,,,,,,,,,
20-Jun-24,,,,,,,,,,,,,,,
21-Jun-24,,,,,,,,,,,,,,,
22-Jun-24,H,,,,,,,,,,,,,,
23-Jun-24,H,,,,,,,,,,,,,,
24-Jun-24,,,,,,,,,,,,,,,
25-Jun-24,,,,,,,,,,,,,,,
26-Jun-24,,,,,,,,,,,,,,,
27-Jun-24,,,,,,,,,,,,,,,
28-Jun-24,,,,,,,,,,,,,,,
29-Jun-24,H,,,,,,,,,,,,,,
30-Jun-24,H,,,,,,,,,,,,,,
01-Jul-24,,,,,,,,,,,,,,,
02-Jul-24,,,,,,,,,,,,,,,
03-Jul-24,,,,,,,,,,,,,,,
04-Jul-24,,,,,,,,,,,,,,,
05-Jul-24,,,,,,,,,,,,,,,
06-Jul-24,H,,,,,,,,,,,,,,
07-Jul-24,H,,,,,,,,,,,,,,
08-Jul-24,,,,,,,,,,,,,,,
09-Jul-24,,,,,,,,,,,,,,,
10-Jul-24,,,,,,,,,,,,,,,
11-Jul-24,,,,,,,,,,,,,,,
12-Jul-24,,,,,,,,,,,,,,,
13-Jul-24,,,,,,,,,,,,,,,
14-Jul-24,H,,,,,,,,,,,,,,
15-Jul-24,,,,,,,,,,,,,,,
16-Jul-24,,,,,,,,,,,,,,,
17-Jul-24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
